year,r
2007,-0.09047606464223153
2008,0.729540917889768
2009,0.06604949886920428
2010,0.061046293131784335
2011,0.4728305328657901
2012,0.3901888509792549
2013,-0.5500054660700378
2014,0.8936874800928288
2015,-0.2923533129141373
2016,-0.04662159204560205
2017,0.5477391412754619
2018,0.5437858340849643
2019,-0.047948487100260624
2020,0.33582094440016974
2021,0.8180758953670292
2022,-0.6357327745929507
2023,0.7229924717485499
2024,0.5645395618953593
2025,0.6737700203772543
