dat,aapl,lly
2007-01-03,2.99285697937012,52.25
2007-01-04,3.05928611755371,52.3600006103516
2007-01-05,3.03749990463257,52.0400009155273
2007-01-08,3.05250000953674,51.7999992370605
2007-01-09,3.30607104301453,51.8300018310547
2007-01-10,3.46428608894348,51.6599998474121
2007-01-11,3.4214289188385,52.2299995422363
2007-01-12,3.37928605079651,52.5999984741211
2007-01-16,3.46785688400269,52.8800010681152
2007-01-17,3.3910710811615,52.8499984741211
2007-01-18,3.18107104301453,53.0400009155273
2007-01-19,3.16071391105652,52.9599990844727
2007-01-22,3.09964299201965,52.7299995422363
2007-01-23,3.06071400642395,52.6500015258789
2007-01-24,3.09642910957336,53.3300018310547
2007-01-25,3.08035707473755,53.1300010681152
2007-01-26,3.04928588867188,52.7900009155273
2007-01-29,3.06928610801697,52.8499984741211
2007-01-30,3.05535697937012,52.7299995422363
2007-01-31,3.06178593635559,54.1199989318848
2007-02-01,3.02642893791199,54.7700004577637
2007-02-02,3.02678608894348,54.5999984741211
2007-02-05,2.99785709381104,54.6699981689453
2007-02-06,3.00535702705383,54.6399993896484
2007-02-07,3.07678604125977,54.4199981689453
2007-02-08,3.07785701751709,54.2099990844727
2007-02-09,2.97392892837524,54.2299995422363
2007-02-12,3.03142905235291,54.4099998474121
2007-02-13,3.02500009536743,54.2799987792969
2007-02-14,3.0464289188385,54.8600006103516
2007-02-15,3.0432140827179,54.9599990844727
2007-02-16,3.02964305877686,54.9900016784668
2007-02-20,3.06785702705383,54.9700012207031
2007-02-21,3.18571400642395,54.5200004577637
2007-02-22,3.19678592681885,54.1399993896484
2007-02-23,3.18107104301453,54.2099990844727
2007-02-26,3.16107106208801,54.4000015258789
2007-02-27,2.99749994277954,53.0
2007-02-28,3.02178597450256,52.5900001525879
2007-03-01,3.10928606987,52.25
2007-03-02,3.05035710334778,51.7700004577637
2007-03-05,3.08285689353943,51.6300010681152
2007-03-06,3.14964294433594,52.2299995422363
2007-03-07,3.13285708427429,51.8600006103516
2007-03-08,3.14285707473755,52.3600006103516
2007-03-09,3.14178609848022,52.5900001525879
2007-03-12,3.20964288711548,52.7999992370605
2007-03-13,3.15714311599731,52.0699996948242
2007-03-14,3.21428608894348,51.9000015258789
2007-03-15,3.19892907142639,52.0499992370605
2007-03-16,3.19964289665222,52.1800003051758
2007-03-19,3.25464296340942,52.6800003051758
2007-03-20,3.26714301109314,52.7700004577637
2007-03-21,3.35249996185303,53.8199996948242
2007-03-22,3.3557140827179,54.1699981689453
2007-03-23,3.33999991416931,53.810001373291
2007-03-26,3.42321395874023,53.7099990844727
2007-03-27,3.40928602218628,53.2700004577637
2007-03-28,3.32999992370605,53.0099983215332
2007-03-29,3.34821391105652,53.4099998474121
2007-03-30,3.31821393966675,53.7099990844727
2007-04-02,3.34464311599731,54.3899993896484
2007-04-03,3.375,54.75
2007-04-04,3.36678600311279,55.1599998474121
2007-04-05,3.38142895698547,55.4799995422363
2007-04-09,3.34464311599731,55.5800018310547
2007-04-10,3.36607098579407,55.6800003051758
2007-04-11,3.30678606033325,55.5900001525879
2007-04-12,3.29250001907349,55.939998626709
2007-04-13,3.2228569984436,56.8800010681152
2007-04-16,3.26535701751709,58.4000015258789
2007-04-17,3.22678589820862,58.8699989318848
2007-04-18,3.22857093811035,59.1399993896484
2007-04-19,3.22392892837524,60.0200004577637
2007-04-20,3.24892902374268,60.560001373291
2007-04-23,3.3396430015564,59.6300010681152
2007-04-24,3.32999992370605,59.2799987792969
2007-04-25,3.40535688400269,59.5099983215332
2007-04-26,3.52999997138977,59.7299995422363
2007-04-27,3.56857109069824,59.6100006103516
2007-04-30,3.56428599357605,59.1300010681152
2007-05-01,3.55250000953674,58.8899993896484
2007-05-02,3.58535695075989,59.1599998474121
2007-05-03,3.58571410179138,59.1399993896484
2007-05-04,3.60035705566406,59.5400009155273
2007-05-07,3.71142911911011,59.7200012207031
2007-05-08,3.75214290618896,59.8300018310547
2007-05-09,3.81714296340942,59.75
2007-05-10,3.83357095718384,58.7099990844727
2007-05-11,3.88357090950012,58.4300003051758
2007-05-14,3.90571403503418,59.2099990844727
2007-05-15,3.83999991416931,59.2400016784668
2007-05-16,3.83357095718384,59.1100006103516
2007-05-17,3.90857100486755,59.0200004577637
2007-05-18,3.92928600311279,59.3699989318848
2007-05-21,3.99928593635559,59.6199989318848
2007-05-22,4.05499982833862,59.5299987792969
2007-05-23,4.03178596496582,59.4000015258789
2007-05-24,3.95321393013,59.189998626709
2007-05-25,4.05785703659058,59.3600006103516
2007-05-29,4.08392906188965,59.4599990844727
2007-05-30,4.24178600311279,59.2400016784668
2007-05-31,4.32821416854858,58.6199989318848
2007-06-01,4.22857093811035,58.939998626709
2007-06-04,4.33321380615234,59.1599998474121
2007-06-05,4.38107109069824,59.0
2007-06-06,4.41571378707886,58.2900009155273
2007-06-07,4.43107080459595,56.9300003051758
2007-06-08,4.4460711479187,57.0200004577637
2007-06-11,4.29250001907349,57.310001373291
2007-06-12,4.29928588867188,56.7799987792969
2007-06-13,4.19642877578735,56.939998626709
2007-06-14,4.24107122421265,57.3800010681152
2007-06-15,4.30357122421265,57.7200012207031
2007-06-18,4.46750020980835,57.4099998474121
2007-06-19,4.41642904281616,57.75
2007-06-20,4.34107112884521,56.7700004577637
2007-06-21,4.42500019073486,56.810001373291
2007-06-22,4.39285707473755,55.7999992370605
2007-06-25,4.36928606033325,55.4799995422363
2007-06-26,4.2732138633728,55.8699989318848
2007-06-27,4.35321378707886,56.3199996948242
2007-06-28,4.30571413040161,56.1800003051758
