Period,n,mean_clo,sd_clo,mean_rel,sd_rel
2010-2010,252,35.15115073370555,1.1185963985815153,1.0144868851831839,0.006729397290025484
2020-2020,253,148.81446624273366,10.510280892446426,1.027981442726738,0.018648697267817975
