"dat","z","opn","mx","mn","clo","vol"
"20070103","",3.0817859172821,3.09214305877686,2.92499995231628,2.99285697937012,1238319600
"20070104","",3.00178599357605,3.06964302062988,2.99357104301453,3.05928611755371,847260400
"20070105","",3.06321406364441,3.0785710811615,3.01428604125977,3.03749990463257,834741600
"20070108","",3.0699999332428,3.09035706520081,3.04571390151978,3.05250000953674,797106800
"20070109","",3.08750009536743,3.32071399688721,3.04107093811035,3.30607104301453,3349298400
"20070110","",3.38392901420593,3.49285697937012,3.33750009536743,3.46428608894348,2952880000
"20070111","",3.42642903327942,3.45642900466919,3.39642906188965,3.4214289188385,1440252800
"20070112","",3.37821388244629,3.39499998092651,3.32964301109314,3.37928605079651,1312690400
"20070116","",3.41714310646057,3.47321391105652,3.40892910957336,3.46785688400269,1244076400
"20070117","",3.48428606987,3.48571395874023,3.38642907142639,3.3910710811615,1646260000
"20070118","",3.28928589820862,3.28964304924011,3.18035697937012,3.18107104301453,2364605600
"20070119","",3.16535711288452,3.20178604125977,3.14714288711548,3.16071391105652,1364473600
"20070122","",3.18357110023499,3.18428611755371,3.05892896652222,3.09964299201965,1454026000
"20070123","",3.06178593635559,3.12535691261292,3.05392909049988,3.06071400642395,1207424400
"20070124","",3.09571409225464,3.11249995231628,3.07428598403931,3.09642910957336,927813600
"20070125","",3.11107110977173,3.16071391105652,3.07249999046326,3.08035707473755,905973600
"20070126","",3.11107110977173,3.12035703659058,3.0353569984436,3.04928588867188,986874000
"20070129","",3.0821430683136,3.09464311599731,3.05464291572571,3.06928610801697,901664400
"20070130","",3.08678603172302,3.08892893791199,3.04464292526245,3.05535697937012,577970400
"20070131","",3.03071403503418,3.07142901420593,3.01250004768372,3.06178593635559,856069200
"20070201","",3.07964301109314,3.08107089996338,3.02642893791199,3.02642893791199,664342000
"20070202","",3.00428605079651,3.04464292526245,2.98928594589233,3.02678608894348,621530000
"20070205","",3.01071405410767,3.04392910003662,2.99785709381104,2.99785709381104,578852400
"20070206","",3.0160710811615,3.01678609848022,2.95928597450256,3.00535702705383,864393600
"20070207","",3.01714301109314,3.08500003814697,2.9839289188385,3.07678604125977,1066825200
"20070208","",3.05107092857361,3.0896430015564,3.05035710334778,3.07785701751709,679030800
"20070209","",3.06714296340942,3.0785710811615,2.97178602218628,2.97392892837524,860540800
"20070212","",3.01535701751709,3.04214310646057,2.98678588867188,3.03142905235291,724071600
"20070213","",3.04142904281616,3.04607105255127,3.01071405410767,3.02500009536743,580986000
"20070214","",3.02250003814697,3.05857110023499,3.02035689353943,3.0464289188385,507981600
"20070215","",3.05142903327942,3.05785703659058,3.02785706520081,3.0432140827179,363661200
"20070216","",3.04464292526245,3.05035710334778,3.0235710144043,3.02964305877686,399868000
"20070220","",3.02321410179138,3.07714295387268,3.00571393966675,3.06785702705383,617702400
"20070221","",3.07071399688721,3.19607090950012,3.0699999332428,3.18571400642395,1155313600
"20070222","",3.24285697937012,3.24321389198303,3.16178607940674,3.19678592681885,838224800
